"filename", "language", "JavaScript JSX", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\final project\src\App.jsx", "JavaScript JSX", 70, 0, 0, 1, 14, 85
"c:\Users\ADMIN\Documents\final project\src\assets\backeground\background.css", "PostCSS", 0, 62, 0, 0, 11, 73
"c:\Users\ADMIN\Documents\final project\src\assets\backeground\background.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\ADMIN\Documents\final project\src\assets\pages\about.jsx", "JavaScript JSX", 16, 0, 0, 0, 4, 20
"c:\Users\ADMIN\Documents\final project\src\assets\pages\chords\chords.css", "PostCSS", 0, 104, 0, 0, 14, 118
"c:\Users\ADMIN\Documents\final project\src\assets\pages\chords\chords.jsx", "JavaScript JSX", 189, 0, 0, 0, 34, 223
"c:\Users\ADMIN\Documents\final project\src\assets\pages\chords\findMinFret.js", "JavaScript", 0, 0, 15, 1, 5, 21
"c:\Users\ADMIN\Documents\final project\src\assets\pages\createChord\createChord.css", "PostCSS", 0, 70, 0, 0, 6, 76
"c:\Users\ADMIN\Documents\final project\src\assets\pages\createChord\createChord.jsx", "JavaScript JSX", 130, 0, 0, 0, 10, 140
"c:\Users\ADMIN\Documents\final project\src\assets\pages\createSong\createSong.css", "PostCSS", 0, 43, 0, 4, 8, 55
"c:\Users\ADMIN\Documents\final project\src\assets\pages\createSong\createSong.jsx", "JavaScript JSX", 64, 0, 0, 0, 5, 69
"c:\Users\ADMIN\Documents\final project\src\assets\pages\home.jsx", "JavaScript JSX", 13, 0, 0, 0, 1, 14
"c:\Users\ADMIN\Documents\final project\src\assets\pages\loginPage\loginPage.css", "PostCSS", 0, 96, 0, 0, 8, 104
"c:\Users\ADMIN\Documents\final project\src\assets\pages\loginPage\loginPage.jsx", "JavaScript JSX", 71, 0, 0, 0, 7, 78
"c:\Users\ADMIN\Documents\final project\src\assets\pages\songs\songs.css", "PostCSS", 0, 155, 0, 1, 10, 166
"c:\Users\ADMIN\Documents\final project\src\assets\pages\songs\songs.jsx", "JavaScript JSX", 129, 0, 0, 0, 14, 143
"c:\Users\ADMIN\Documents\final project\src\assets\pages\tuner\AutoCorrelation.jsx", "JavaScript JSX", 47, 0, 0, 1, 7, 55
"c:\Users\ADMIN\Documents\final project\src\assets\pages\tuner\tuner.css", "PostCSS", 0, 82, 0, 1, 4, 87
"c:\Users\ADMIN\Documents\final project\src\assets\pages\tuner\tuner.jsx", "JavaScript JSX", 171, 0, 0, 3, 27, 201
"c:\Users\ADMIN\Documents\final project\src\assets\svg.jsx", "JavaScript JSX", 49, 0, 0, 0, 4, 53
"c:\Users\ADMIN\Documents\final project\src\components\Carousel\Carousel.css", "PostCSS", 0, 37, 0, 0, 4, 41
"c:\Users\ADMIN\Documents\final project\src\components\Carousel\Carousel.jsx", "JavaScript JSX", 44, 0, 0, 0, 7, 51
"c:\Users\ADMIN\Documents\final project\src\components\Menu\MainMenu\mainMenu.jsx", "JavaScript JSX", 17, 0, 0, 0, 5, 22
"c:\Users\ADMIN\Documents\final project\src\components\Menu\MainMenu\mainmenu.css", "PostCSS", 0, 14, 0, 0, 2, 16
"c:\Users\ADMIN\Documents\final project\src\components\Menu\menu.css", "PostCSS", 0, 37, 0, 0, 4, 41
"c:\Users\ADMIN\Documents\final project\src\components\Menu\menu.jsx", "JavaScript JSX", 23, 0, 0, 0, 4, 27
"c:\Users\ADMIN\Documents\final project\src\components\Menu\profileMenu\profileMenu.css", "PostCSS", 0, 65, 0, 0, 13, 78
"c:\Users\ADMIN\Documents\final project\src\components\Menu\profileMenu\profileMenu.jsx", "JavaScript JSX", 72, 0, 0, 0, 7, 79
"c:\Users\ADMIN\Documents\final project\src\components\button.jsx", "JavaScript JSX", 7, 0, 0, 0, 4, 11
"c:\Users\ADMIN\Documents\final project\src\components\checkbox\checkbox.css", "PostCSS", 0, 46, 0, 6, 6, 58
"c:\Users\ADMIN\Documents\final project\src\components\checkbox\checkbox.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\ADMIN\Documents\final project\src\components\footer.jsx", "JavaScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\ADMIN\Documents\final project\src\components\header.jsx", "JavaScript JSX", 17, 0, 0, 0, 2, 19
"c:\Users\ADMIN\Documents\final project\src\components\lessonMenu\lessonMenu.css", "PostCSS", 0, 20, 0, 0, 0, 20
"c:\Users\ADMIN\Documents\final project\src\components\lessonMenu\lessonMenu.jsx", "JavaScript JSX", 21, 0, 0, 0, 6, 27
"c:\Users\ADMIN\Documents\final project\src\components\starButton\starButton.css", "PostCSS", 0, 43, 0, 5, 7, 55
"c:\Users\ADMIN\Documents\final project\src\components\starButton\starButton.jsx", "JavaScript JSX", 12, 0, 0, 0, 3, 15
"c:\Users\ADMIN\Documents\final project\src\components\textField\textField.css", "PostCSS", 0, 43, 0, 0, 7, 50
"c:\Users\ADMIN\Documents\final project\src\components\textField\textField.jsx", "JavaScript JSX", 63, 0, 0, 0, 9, 72
"c:\Users\ADMIN\Documents\final project\src\globalsIndex.jsx", "JavaScript JSX", 14, 0, 0, 0, 4, 18
"c:\Users\ADMIN\Documents\final project\src\index.css", "PostCSS", 0, 106, 0, 0, 29, 135
"c:\Users\ADMIN\Documents\final project\src\main.jsx", "JavaScript JSX", 11, 0, 0, 0, 4, 15
"Total", "-", 1281, 1023, 15, 23, 326, 2668
